,Scenario Name,Tools,Task Graphs
0,How to work for the new tech company in town,"['look for tech companies that are hiring', 'choose a tech company', 'send the resume', 'drive to the company', 'be at the interview', 'accept the job']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'look for tech companies that are hiring'}, {'id': 'task_2', 'label': 'choose a tech company'}, {'id': 'task_3', 'label': 'send the resume'}, {'id': 'task_4', 'label': 'drive to the company'}, {'id': 'task_5', 'label': 'be at the interview'}, {'id': 'task_6', 'label': 'accept the job'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
1,How to make some fresh lemonade,"['go to the car', 'drive to the store', 'walk in the store', 'go to produce', 'pick up some lemons', 'pay the cashier', 'drive back home']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'go to the car'}, {'id': 'task_2', 'label': 'drive to the store'}, {'id': 'task_3', 'label': 'walk in the store'}, {'id': 'task_4', 'label': 'go to produce'}, {'id': 'task_5', 'label': 'pick up some lemons'}, {'id': 'task_6', 'label': 'pay the cashier'}, {'id': 'task_7', 'label': 'drive back home'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
2,How to have a large baby shower,"['Decide on venue', 'Make list of guests', 'Send out invitations', 'Wait for replies', 'Check availability of venue', 'Book venue for shower', 'Send confirmation details to guests']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Decide on venue'}, {'id': 'task_2', 'label': 'Make list of guests'}, {'id': 'task_3', 'label': 'Send out invitations'}, {'id': 'task_4', 'label': 'Wait for replies'}, {'id': 'task_5', 'label': 'Check availability of venue'}, {'id': 'task_6', 'label': 'Book venue for shower'}, {'id': 'task_7', 'label': 'Send confirmation details to guests'}], 'edges': [{'from': 'task_6', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_7'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_5'}]}}"
3,How to Make Mushy Peas,"['Start with large peas.', 'Rinse the peas.', 'Steam until wrinkled.', 'Add melted butter, cream, salt, and pepper.', 'Mash until soft.', 'Eat immediately.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Start with large peas.'}, {'id': 'task_2', 'label': 'Rinse the peas.'}, {'id': 'task_3', 'label': 'Steam until wrinkled.'}, {'id': 'task_4', 'label': 'Add melted butter, cream, salt, and pepper.'}, {'id': 'task_5', 'label': 'Mash until soft.'}, {'id': 'task_6', 'label': 'Eat immediately.'}], 'edges': [{'from': 'task_4', 'to': 'task_6'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_4'}]}}"
4,How to see the park,"['get dressed and put on shoes', 'grab house keys', 'lock up the house and head out', 'walk to the park', 'arrive at the park']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'get dressed and put on shoes'}, {'id': 'task_2', 'label': 'grab house keys'}, {'id': 'task_3', 'label': 'lock up the house and head out'}, {'id': 'task_4', 'label': 'walk to the park'}, {'id': 'task_5', 'label': 'arrive at the park'}], 'edges': [{'from': 'task_3', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_2', 'to': 'task_3'}]}}"
5,How to Make a Pear Martini,"['Add ice to a cocktail shaker.', 'Add the vodka and pear liqueur to the cocktail shaker.', 'Stir the ingredients in the cocktail shaker with a bar spoon for five to ten seconds.', 'Strain into a cocktail glass.', 'Garnish with a pear slice.', 'Serve the drink.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Add ice to a cocktail shaker.'}, {'id': 'task_2', 'label': 'Add the vodka and pear liqueur to the cocktail shaker.'}, {'id': 'task_3', 'label': 'Stir the ingredients in the cocktail shaker with a bar spoon for five to ten seconds.'}, {'id': 'task_4', 'label': 'Strain into a cocktail glass.'}, {'id': 'task_5', 'label': 'Garnish with a pear slice.'}, {'id': 'task_6', 'label': 'Serve the drink.'}], 'edges': [{'from': 'task_4', 'to': 'task_5'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_4'}, {'from': 'task_5', 'to': 'task_6'}]}}"
6,How to Play Strip Twister,"['Divide into teams.', 'Prepare to play.', 'Play the game.', 'Win the game.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Divide into teams.'}, {'id': 'task_2', 'label': 'Prepare to play.'}, {'id': 'task_3', 'label': 'Play the game.'}, {'id': 'task_4', 'label': 'Win the game.'}], 'edges': [{'from': 'task_2', 'to': 'task_1'}, {'from': 'task_1', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_4'}]}}"
7,How to Write Introductions,"['Establish your topic by using a clear, concise statement.', 'Include your main points to give your readers guidance.', 'Place your main ideas at the end of your introduction.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Establish your topic by using a clear, concise statement.'}, {'id': 'task_2', 'label': 'Include your main points to give your readers guidance.'}, {'id': 'task_3', 'label': 'Place your main ideas at the end of your introduction.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
8,How to take a vacation this year,"['Save up money for vacation', 'Research vacation spots', 'Choose a vacation spot', 'Choose a time to take off work', 'Request time off of work']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Save up money for vacation'}, {'id': 'task_2', 'label': 'Research vacation spots'}, {'id': 'task_3', 'label': 'Choose a vacation spot'}, {'id': 'task_4', 'label': 'Choose a time to take off work'}, {'id': 'task_5', 'label': 'Request time off of work'}], 'edges': [{'from': 'task_3', 'to': 'task_4'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_1', 'to': 'task_2'}]}}"
9,How to fry some Oreos,"['go to the store', 'walk inside the store', 'find the Oreo section', ""grab a bag of Oreo's"", 'head to the checkout', 'pay at the register']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'go to the store'}, {'id': 'task_2', 'label': 'walk inside the store'}, {'id': 'task_3', 'label': 'find the Oreo section'}, {'id': 'task_4', 'label': ""grab a bag of Oreo's""}, {'id': 'task_5', 'label': 'head to the checkout'}, {'id': 'task_6', 'label': 'pay at the register'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
