,Scenario Name,Tools,Task Graphs
0,How to Drink Baking Soda,"['Take baking soda to improve your digestive system.', 'Use baking soda to lower your body’s overall acidity levels.', 'Treat kidney stones and urinary tract infections with baking soda.', 'Prevent sports-related muscle pain and fatigue with baking soda.', 'Shorten the duration of colds and the flu with short-term use of baking soda.', 'Improve your overall immune health by regularly taking baking soda.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Take baking soda to improve your digestive system.'}, {'id': 2, 'label': 'Use baking soda to lower your body’s overall acidity levels.'}, {'id': 3, 'label': 'Treat kidney stones and urinary tract infections with baking soda.'}, {'id': 4, 'label': 'Prevent sports-related muscle pain and fatigue with baking soda.'}, {'id': 5, 'label': 'Shorten the duration of colds and the flu with short-term use of baking soda.'}, {'id': 6, 'label': 'Improve your overall immune health by regularly taking baking soda.'}], 'edges': []}}"
1,How to Choose Nail Polish Colour That Suits You,"['Use metallics to convey a wild personality.', 'Go for an edgy look with black polish.', 'Pick bright colours for an energetic look.', 'Choose muted colours for a softer look.', 'Show off sophistication with darker polish.', 'Go for bright red to look bold.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Use metallics to convey a wild personality.'}, {'id': 2, 'label': 'Go for an edgy look with black polish.'}, {'id': 3, 'label': 'Pick bright colours for an energetic look.'}, {'id': 4, 'label': 'Choose muted colours for a softer look.'}, {'id': 5, 'label': 'Show off sophistication with darker polish.'}, {'id': 6, 'label': 'Go for bright red to look bold.'}], 'edges': []}}"
2,How to Identify Poisonous Mushrooms,"['Distinguish true from false morels by looking at the cap shape and interior.', 'Take a spore print to identify green-spored parasols from shaggy parasols.', ""Check the gills to distinguish chanterelles from Jack o'lanterns."", 'Identify honey mushrooms from deadly Galerina with a spore print.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Distinguish true from false morels by looking at the cap shape and interior.'}, {'id': 2, 'label': 'Take a spore print to identify green-spored parasols from shaggy parasols.'}, {'id': 3, 'label': ""Check the gills to distinguish chanterelles from Jack o'lanterns.""}, {'id': 4, 'label': 'Identify honey mushrooms from deadly Galerina with a spore print.'}], 'edges': []}}"
3,How to Use Branched Chain Amino Acids (BCAAs),"['Consume dairy.', 'Eat meat.', 'Eat legumes.', 'Eat nuts and seeds.', 'Take a BCAA supplement.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Consume dairy.'}, {'id': 2, 'label': 'Eat meat.'}, {'id': 3, 'label': 'Eat legumes.'}, {'id': 4, 'label': 'Eat nuts and seeds.'}, {'id': 5, 'label': 'Take a BCAA supplement.'}], 'edges': []}}"
4,How to Soothe Red and Inflamed Gums,"['Soothe sore gums with chamomile tea.', 'Prepare a mouthwash of saltwater.', 'Use peppermint tablets or capsules.', 'Use sage leaves.', 'Make mouthwash from myrrh tinctures.', 'Apply aloe vera on sore gums.', 'Help gums heal with manuka honey.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Soothe sore gums with chamomile tea.'}, {'id': 2, 'label': 'Prepare a mouthwash of saltwater.'}, {'id': 3, 'label': 'Use peppermint tablets or capsules.'}, {'id': 4, 'label': 'Use sage leaves.'}, {'id': 5, 'label': 'Make mouthwash from myrrh tinctures.'}, {'id': 6, 'label': 'Apply aloe vera on sore gums.'}, {'id': 7, 'label': 'Help gums heal with manuka honey.'}], 'edges': []}}"
5,How to Wear a Fanny Pack,"['Wear your fanny pack around your waist for a classic style.', 'Sling the bag across your chest for a more secure approach.', 'Layer your fanny pack over your clothes to show it off.', 'Wear your fanny pack under a jacket for a chic look.', 'Add a fanny pack to a t-shirt and jeans for a casual style.', 'Put a fanny pack over a winter jacket for a sophisticated look.', 'Try a fanny pack on top of a dress.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Wear your fanny pack around your waist for a classic style.'}, {'id': 2, 'label': 'Sling the bag across your chest for a more secure approach.'}, {'id': 3, 'label': 'Layer your fanny pack over your clothes to show it off.'}, {'id': 4, 'label': 'Wear your fanny pack under a jacket for a chic look.'}, {'id': 5, 'label': 'Add a fanny pack to a t-shirt and jeans for a casual style.'}, {'id': 6, 'label': 'Put a fanny pack over a winter jacket for a sophisticated look.'}, {'id': 7, 'label': 'Try a fanny pack on top of a dress.'}], 'edges': []}}"
6,How to Make a Monster Creator Food Table,"['Place the bones in a separate bowl.', 'Do the same with cheesy fingers.', 'Place other items on platter.', 'Put the ""guts"" in a punch bowl.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Place the bones in a separate bowl.'}, {'id': 2, 'label': 'Do the same with cheesy fingers.'}, {'id': 3, 'label': 'Place other items on platter.'}, {'id': 4, 'label': 'Put the ""guts"" in a punch bowl.'}], 'edges': []}}"
7,How to Make Horseradish Sauce,"['Spread horseradish sauce over prime rib, roast beef, and steaks.', 'Add horseradish sauce to your next sandwich for a flavorful punch.', 'Mix horseradish sauce with applesauce for a sweet and spicy variation.', 'Serve horseradish sauce along with potatoes for a delicious side dish.', 'Pair horseradish sauce with a crusted fish recipe.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Spread horseradish sauce over prime rib, roast beef, and steaks.'}, {'id': 2, 'label': 'Add horseradish sauce to your next sandwich for a flavorful punch.'}, {'id': 3, 'label': 'Mix horseradish sauce with applesauce for a sweet and spicy variation.'}, {'id': 4, 'label': 'Serve horseradish sauce along with potatoes for a delicious side dish.'}, {'id': 5, 'label': 'Pair horseradish sauce with a crusted fish recipe.'}], 'edges': []}}"
8,How to Write a Letter of Appreciation to Your Teacher,"['List 3-5 ways your teacher helped you over the school year.', 'Think of a memorable moment from their class.', 'Identify the 3-5 most important things they taught you.', 'List the qualities you love most about your teacher.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'List 3-5 ways your teacher helped you over the school year.'}, {'id': 2, 'label': 'Think of a memorable moment from their class.'}, {'id': 3, 'label': 'Identify the 3-5 most important things they taught you.'}, {'id': 4, 'label': 'List the qualities you love most about your teacher.'}], 'edges': []}}"
9,How to Ignore Hunger,"['Eat breakfast every morning.', 'Eat plenty of lean protein.', 'Eat healthy fats.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Eat breakfast every morning.'}, {'id': 2, 'label': 'Eat plenty of lean protein.'}, {'id': 3, 'label': 'Eat healthy fats.'}], 'edges': []}}"
10,How to Add Nitrogen to Compost,"['Add fresh grass clippings to the compost.', 'Add leafy plant clippings to the compost.', 'Add chicken droppings.', 'Add aged manure to increase the nitrogen in your compost.', 'Incorporate blood or bone meal into your compost.', 'Pour corn-gluten meal into the compost.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Add fresh grass clippings to the compost.'}, {'id': 2, 'label': 'Add leafy plant clippings to the compost.'}, {'id': 3, 'label': 'Add chicken droppings.'}, {'id': 4, 'label': 'Add aged manure to increase the nitrogen in your compost.'}, {'id': 5, 'label': 'Incorporate blood or bone meal into your compost.'}, {'id': 6, 'label': 'Pour corn-gluten meal into the compost.'}], 'edges': []}}"
